player_id,web_name,first_name,second_name,team,team_short_name,position,price_millions,selected_by_percent,transfers_in,transfers_out,status,chance_of_playing_next_round,news,captured_at
321,Walle Egeli,Sindre,Walle Egeli,Ipswich Town,IPS,FWD,4.5,2.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
300,Walton,Christian,Walton,Ipswich Town,IPS,GK,4.5,0.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
55,Watkins,Ollie,Watkins,Aston Villa,AVL,FWD,8.0,12.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
133,Watson,Tom,Watson,Brighton,BHA,MID,5.0,0.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
136,Welbeck,Danny,Welbeck,Brighton,BHA,FWD,6.0,3.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
210,Wharton,Adam,Wharton,Crystal Palace,CRY,MID,5.5,0.2,0,0,d,75,Ankle injury - 75% chance of playing,2026-07-28T16:37:26.460290+00:00
10,White,Benjamin,White,Arsenal,ARS,DEF,5.5,0.0,0,0,i,0,Knee injury - Expected back 21 Aug,2026-07-28T16:37:26.460290+00:00
130,Wieffer,Mats,Wieffer,Brighton,BHA,DEF,5.0,0.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
460,Willock,Joe,Willock,Newcastle,NEW,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
108,Wilson,Callum,Wilson,Brentford,BRE,FWD,5.5,0.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
172,Wilson,Ben,Wilson,Coventry City,COV,GK,4.5,0.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
260,Wilson,Harry,Wilson,Leeds,LEE,MID,6.5,9.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
366,Wirtz,Florian,Wirtz,Liverpool,LIV,MID,7.5,10.8,0,0,a,,,2026-07-28T16:37:26.460290+00:00
464,Wissa,Yoane,Wissa,Newcastle,NEW,FWD,6.0,1.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
463,Woltemade,Nick,Woltemade,Newcastle,NEW,FWD,6.0,1.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
490,Wood,Chris,Wood,Nott'm Forest,NFO,FWD,6.0,1.8,0,0,a,,,2026-07-28T16:37:26.460290+00:00
352,Woodman,Freddie,Woodman,Liverpool,LIV,GK,4.0,1.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
180,Woolfenden,Luke,Woolfenden,Coventry City,COV,DEF,4.0,0.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
193,Wright,Haji,Wright,Coventry City,COV,FWD,5.5,1.8,0,0,a,,,2026-07-28T16:37:26.460290+00:00
513,Xavi,Xavi,Simons,Spurs,TOT,MID,6.0,0.0,0,0,i,0,Knee injury - Unknown return date,2026-07-28T16:37:26.460290+00:00
544,Xhaka,Granit,Xhaka,Sunderland,SUN,MID,5.5,6.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
102,Yarmoliuk,Yehor,Yarmoliuk,Brentford,BRE,MID,5.0,1.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
489,Yates,Ryan,Yates,Nott'm Forest,NFO,MID,4.5,7.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
211,Yeremy,Yéremy,Pino Santos,Crystal Palace,CRY,MID,5.5,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
135,Yohanna,Zadok,Yohanna,Brighton,BHA,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
420,Yoro,Leny,Yoro,Man Utd,MUN,DEF,5.0,0.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
294,Zambrano,Óscar,Zambrano,Hull City,HUL,MID,4.5,0.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
440,Zirkzee,Joshua,Zirkzee,Man Utd,MUN,FWD,5.5,0.7,0,0,a,,,2026-07-28T16:37:26.460290+00:00
19,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,ARS,MID,5.5,1.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
292,Ömür,Abdülkadir,Ömür,Hull City,HUL,MID,5.0,0.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
15,Ødegaard,Martin,Ødegaard,Arsenal,ARS,MID,6.5,2.9,0,0,a,,,2026-07-28T16:37:26.460290+00:00
439,Šeško,Benjamin,Sesko,Man Utd,MUN,FWD,7.0,3.2,0,0,d,75,Shin injury - 75% chance of playing,2026-07-28T16:37:26.460290+00:00
